name,category,date,value
"Agra, India",India,1575-01-01,200
"Agra, India",India,1576-01-01,212
"Agra, India",India,1577-01-01,224
"Agra, India",India,1578-01-01,236
"Agra, India",India,1579-01-01,248
"Agra, India",India,1580-01-01,260
"Agra, India",India,1581-01-01,272
"Agra, India",India,1582-01-01,284
"Agra, India",India,1583-01-01,296
"Agra, India",India,1584-01-01,308
"Agra, India",India,1585-01-01,320
"Agra, India",India,1586-01-01,332
"Agra, India",India,1587-01-01,344
"Agra, India",India,1588-01-01,356
"Agra, India",India,1589-01-01,368
"Agra, India",India,1590-01-01,380
"Agra, India",India,1591-01-01,392
"Agra, India",India,1592-01-01,404
"Agra, India",India,1593-01-01,416
"Agra, India",India,1594-01-01,428
"Agra, India",India,1595-01-01,440
"Agra, India",India,1596-01-01,452
"Agra, India",India,1597-01-01,464
"Agra, India",India,1598-01-01,476
"Agra, India",India,1599-01-01,488
"Agra, India",India,1600-01-01,500
"Agra, India",India,1601-01-01,500
"Agra, India",India,1602-01-01,500
"Agra, India",India,1603-01-01,500
"Agra, India",India,1604-01-01,500
"Agra, India",India,1605-01-01,500
"Agra, India",India,1606-01-01,500
"Agra, India",India,1607-01-01,500
"Agra, India",India,1608-01-01,500
"Agra, India",India,1609-01-01,500
"Agra, India",India,1610-01-01,500
"Agra, India",India,1611-01-01,496.428571428571
"Agra, India",India,1612-01-01,492.857142857143
"Agra, India",India,1613-01-01,489.285714285714
"Agra, India",India,1614-01-01,485.714285714286
"Agra, India",India,1615-01-01,482.142857142857
"Agra, India",India,1616-01-01,478.571428571429
"Agra, India",India,1617-01-01,475
"Agra, India",India,1618-01-01,471.428571428571
"Agra, India",India,1619-01-01,467.857142857143
"Agra, India",India,1620-01-01,464.285714285714
"Agra, India",India,1621-01-01,460.714285714286
"Agra, India",India,1622-01-01,457.142857142857
"Agra, India",India,1623-01-01,453.571428571429
"Agra, India",India,1624-01-01,450
"Agra, India",India,1625-01-01,446.428571428571
"Agra, India",India,1626-01-01,442.857142857143
"Agra, India",India,1627-01-01,439.285714285714
"Agra, India",India,1628-01-01,435.714285714286
"Agra, India",India,1629-01-01,432.142857142857
"Agra, India",India,1630-01-01,428.571428571429
"Agra, India",India,1631-01-01,425
"Agra, India",India,1632-01-01,421.428571428571
"Agra, India",India,1633-01-01,417.857142857143
"Agra, India",India,1634-01-01,414.285714285714
"Agra, India",India,1635-01-01,410.714285714286
"Agra, India",India,1636-01-01,407.142857142857
"Agra, India",India,1637-01-01,403.571428571429
"Agra, India",India,1638-01-01,400
"Agra, India",India,1639-01-01,376.666666666667
"Agra, India",India,1640-01-01,353.333333333333
"Agra, India",India,1641-01-01,330
"Agra, India",India,1642-01-01,306.666666666667
"Agra, India",India,1643-01-01,283.333333333333
"Ahmedabad, India",India,1573-01-01,163
"Ahmedabad, India",India,1574-01-01,164
"Ahmedabad, India",India,1579-01-01,171.666666666667
"Ahmedabad, India",India,1580-01-01,173.333333333333
"Ahmedabad, India",India,1581-01-01,175
